X,Y,class
-3.277,2.025,0.0
-3.612,1.996,0.0
1.219,-3.13,0.0
-1.77,-3.496,0.0
-3.683,1.8,0.0
0.264,1.508,1.0
2.532,3.213,0.0
3.899,1.416,0.0
1.534,0.608,1.0
-1.006,1.251,1.0
1.354,1.245,1.0
-1.055,-1.308,1.0
0.97,1.652,1.0
-2.257,3.489,0.0
0.943,-1.614,1.0
3.557,-0.352,0.0
-1.194,-1.287,1.0
2.229,3.097,0.0
-1.002,4.238,0.0
0.852,-1.303,1.0
-0.963,-1.538,1.0
0.202,1.329,1.0
-1.773,-3.754,0.0
-0.634,1.565,1.0
-4.007,-0.132,0.0
0.542,-1.601,1.0
-0.614,0.799,1.0
-2.914,-1.98,0.0
-1.848,0.332,1.0
1.436,-0.522,1.0
3.208,2.076,0.0
0.48,-1.885,1.0
4.315,0.3,0.0
1.204,0.698,1.0
-1.148,-4.06,0.0
1.15,-1.38,1.0
1.565,0.917,1.0
-1.705,-3.352,0.0
1.632,0.184,1.0
3.823,-0.524,0.0
1.069,1.993,1.0
3.543,1.677,0.0
3.37,1.35,0.0
-3.689,1.307,0.0
2.379,-0.748,1.0
-3.282,2.905,0.0
-2.375,-3.275,0.0
3.836,0.218,0.0
-3.001,2.15,0.0
1.874,0.559,1.0
-1.903,-1.213,1.0
-3.55,-1.948,0.0
0.765,4.489,0.0
2.027,-3.265,0.0
2.525,3.351,0.0
2.141,3.08,0.0
-3.157,-1.5,0.0
2.186,3.211,0.0
1.693,-0.274,1.0
-1.94,-0.769,1.0
0.328,-1.215,1.0
0.425,-3.759,0.0
-2.802,-3.074,0.0
1.674,0.351,1.0
1.047,-1.791,1.0
1.245,-1.556,1.0
3.494,0.164,0.0
-2.225,0.46,1.0
3.536,-1.308,0.0
1.586,3.309,0.0
-4.188,-0.632,0.0
-0.626,-3.507,0.0
0.248,-1.622,1.0
-1.202,-0.492,1.0
0.154,-3.871,0.0
-0.225,1.419,1.0
0.317,-4.209,0.0
3.927,-0.833,0.0
0.291,4.128,0.0
0.306,-1.519,1.0
-3.955,0.145,0.0
1.491,0.804,1.0
3.302,1.392,0.0
-3.393,2.64,0.0
0.136,1.745,1.0
2.189,3.196,0.0
-1.121,-0.697,1.0
0.91,1.128,1.0
-1.339,-0.25,1.0
-3.654,0.65,0.0
-3.649,-1.905,0.0
-3.466,2.027,0.0
-1.809,0.859,1.0
-1.148,-3.397,0.0
2.959,-2.297,0.0
-3.512,1.059,0.0
1.403,-0.481,1.0
1.426,-0.891,1.0
-1.879,-1.173,1.0
1.935,0.202,1.0
3.828,-1.545,0.0
-0.238,-4.03,0.0
3.719,-1.895,0.0
0.686,-1.692,1.0
2.188,-2.648,0.0
3.488,0.254,0.0
-1.886,3.527,0.0
1.447,0.564,1.0
3.265,-2.247,0.0
3.178,-1.116,0.0
2.246,-2.962,0.0
-1.647,-0.558,1.0
0.912,-1.447,1.0
-1.508,-4.064,0.0
1.669,1.538,1.0
1.298,-0.996,1.0
0.985,1.319,1.0
0.547,1.657,1.0
1.477,0.285,1.0
0.562,1.047,1.0
-1.061,0.626,1.0
2.564,-2.305,0.0
3.807,-1.98,0.0
-4.041,0.584,0.0
-1.183,-3.885,0.0
-1.849,0.613,1.0
-2.962,1.909,0.0
2.237,3.05,0.0
-0.693,3.81,0.0
-3.361,-2.411,0.0
0.091,1.643,1.0
-1.123,-0.41,1.0
1.505,0.249,1.0
-1.452,-4.076,0.0
4.297,-0.846,0.0
-1.5,0.994,1.0
-0.162,3.756,0.0
-1.072,0.712,1.0
-2.299,-3.04,0.0
-1.425,0.301,1.0
0.631,1.202,1.0
4.168,-0.235,0.0
-2.815,-2.805,0.0
-0.97,1.36,1.0
0.837,0.977,1.0
0.407,-2.138,1.0
1.573,0.626,1.0
3.967,-1.387,0.0
0.966,-4.35,0.0
-1.915,3.676,0.0
0.097,3.829,0.0
0.427,-3.706,0.0
1.791,-3.605,0.0
1.083,0.909,1.0
0.309,-1.491,1.0
1.504,3.844,0.0
1.482,-1.075,1.0
-2.44,3.727,0.0
-4.195,-1.583,0.0
0.62,-0.927,1.0
2.505,3.602,0.0
-3.45,-2.189,0.0
-0.618,4.19,0.0
-3.529,-2.325,0.0
2.817,-3.364,0.0
-1.89,-3.654,0.0
-1.117,3.436,0.0
2.292,-3.045,0.0
0.881,1.744,1.0
-0.741,4.041,0.0
3.067,-2.235,0.0
-1.722,3.716,0.0
3.412,1.094,0.0
-1.759,-0.532,1.0
-2.989,2.853,0.0
0.379,-4.459,0.0
0.234,-1.896,1.0
-1.833,3.414,0.0
-1.271,0.857,1.0
-0.873,4.078,0.0
-2.409,3.667,0.0
4.171,0.493,0.0
-1.759,0.025,1.0
3.468,-1.205,0.0
2.1,3.596,0.0
0.697,-1.393,1.0
-1.196,-1.075,1.0
-3.166,0.505,0.0
-1.203,4.044,0.0
-2.191,-0.785,1.0
-4.038,0.481,0.0
-3.557,1.49,0.0
0.331,-1.525,1.0
0.676,0.094,1.0
-0.261,3.731,0.0
1.76,-0.611,1.0
-1.837,-0.342,1.0
-2.959,2.896,0.0
3.3,1.839,0.0
-1.363,0.778,1.0
0.945,3.708,0.0
0.722,1.197,1.0
2.559,2.88,0.0
1.632,-2.987,0.0
2.65,-2.731,0.0
-1.635,0.176,1.0
1.437,-0.435,1.0
4.206,1.087,0.0
3.942,-1.368,0.0
1.402,0.697,1.0
1.355,0.603,1.0
0.417,1.339,1.0
-1.185,0.677,1.0
0.639,-1.292,1.0
-2.421,-2.916,0.0
2.824,2.379,0.0
1.968,-0.136,1.0
0.831,0.177,1.0
0.577,-2.079,1.0
-1.389,-0.541,1.0
-3.573,-1.059,0.0
-1.577,-1.324,1.0
-1.43,1.066,1.0
-0.599,1.595,1.0
-0.735,-1.116,1.0
1.354,0.413,1.0
2.764,-2.451,0.0
3.926,1.448,0.0
-1.521,0.71,1.0
3.985,-0.994,0.0
0.794,1.622,1.0
2.35,-3.409,0.0
-0.184,-3.609,0.0
1.87,3.316,0.0
2.972,2.548,0.0
-0.51,1.86,1.0
-3.654,-0.672,0.0
-4.02,-1.864,0.0
-0.66,-4.225,0.0
-0.838,-3.47,0.0
3.217,-2.088,0.0
-3.289,-0.803,0.0
4.193,0.791,0.0
-2.9,3.132,0.0
-0.173,-4.052,0.0
-0.07,-2.005,1.0
-0.356,0.964,1.0
-3.587,1.379,0.0
0.834,1.152,1.0
1.555,-0.642,1.0
-0.98,1.794,1.0
1.448,0.942,1.0
1.091,1.112,1.0
0.228,1.547,1.0
-2.107,3.441,0.0
-1.103,1.563,1.0
-0.803,1.327,1.0
0.741,1.375,1.0
0.22,-1.415,1.0
0.907,-4.376,0.0
-1.68,3.784,0.0
-3.263,0.445,0.0
-0.788,1.615,1.0
0.78,-1.388,1.0
-0.735,1.65,1.0
-0.199,-3.847,0.0
1.713,-3.582,0.0
2.657,2.91,0.0
1.013,3.819,0.0
0.616,1.061,1.0
1.642,-0.29,1.0
0.585,-4.284,0.0
1.132,4.327,0.0
0.087,3.608,0.0
1.869,-3.718,0.0
1.26,-0.176,1.0
3.619,-1.949,0.0
1.114,-3.174,0.0
2.15,3.421,0.0
1.393,-1.416,1.0
1.806,3.33,0.0
-1.174,-3.624,0.0
1.622,-0.461,1.0
1.47,-0.736,1.0
1.588,-0.887,1.0
0.198,1.815,1.0
0.624,1.892,1.0
0.637,1.368,1.0
1.822,3.919,0.0
3.074,0.807,0.0
0.905,-4.145,0.0
1.195,0.601,1.0
3.584,1.621,0.0
3.516,2.199,0.0
-1.59,-3.695,0.0
-2.126,3.539,0.0
4.364,-0.248,0.0
0.404,-2.22,1.0
0.15,1.614,1.0
-2.047,-0.496,1.0
1.067,4.051,0.0
1.785,-3.152,0.0
-2.141,3.083,0.0
2.932,-2.46,0.0
1.909,-3.036,0.0
-0.456,-1.613,1.0
0.206,-1.715,1.0
-1.939,1.181,1.0
-2.144,3.425,0.0
1.108,-4.226,0.0
0.826,-1.623,1.0
-1.259,-0.784,1.0
1.09,-1.056,1.0
-0.967,1.109,1.0
0.133,-4.275,0.0
1.264,-0.338,1.0
-1.768,-0.025,1.0
-3.952,-0.713,0.0
0.857,0.407,1.0
-1.848,-3.477,0.0
4.154,0.78,0.0
-2.427,-3.4,0.0
-1.309,-0.455,1.0
-4.11,1.56,0.0
-2.937,3.887,0.0
1.589,-0.228,1.0
3.589,0.991,0.0
-1.083,-4.06,0.0
-0.586,1.248,1.0
0.046,-0.723,1.0
-1.798,-3.571,0.0
2.71,-2.47,0.0
1.256,0.691,1.0
-1.211,-1.401,1.0
-3.466,2.871,0.0
0.466,1.266,1.0
1.338,3.705,0.0
1.641,1.084,1.0
2.419,2.998,0.0
-0.141,1.792,1.0
-3.867,-1.821,0.0
-0.236,-1.726,1.0
2.239,-2.92,0.0
-1.494,3.919,0.0
2.453,3.226,0.0
-1.569,0.162,1.0
3.141,-2.229,0.0
-3.158,2.809,0.0
-3.529,-0.882,0.0
-3.519,0.518,0.0
3.361,-0.586,0.0
0.517,4.418,0.0
1.587,-0.879,1.0
1.827,0.179,1.0
-1.331,-1.257,1.0
0.977,1.666,1.0
0.217,3.863,0.0
0.366,4.129,0.0
3.597,-1.496,0.0
-1.111,1.294,1.0
2.953,2.254,0.0
-0.476,-1.517,1.0
0.779,-1.353,1.0
-0.134,-3.987,0.0
-3.813,-0.911,0.0
3.718,2.644,0.0
-1.664,-3.87,0.0
-3.072,2.464,0.0
2.174,0.052,1.0
-1.046,-1.201,1.0
-1.489,0.377,1.0
-3.368,-0.538,0.0
2.92,-3.252,0.0
-0.993,1.712,1.0
-3.143,-3.228,0.0
-1.817,-3.323,0.0
1.631,-0.932,1.0
-1.369,3.688,0.0
-0.162,3.35,0.0
-1.195,-0.297,1.0
2.75,2.749,0.0
-1.125,-3.456,0.0
0.985,-1.227,1.0
-0.729,3.656,0.0
4.101,-1.831,0.0
1.06,-3.652,0.0
-0.163,1.849,1.0
-2.109,-2.758,0.0
3.267,0.986,0.0
-0.851,-1.502,1.0
-1.171,-0.557,1.0
-1.581,-0.799,1.0
1.653,-3.473,0.0
1.121,0.765,1.0
-0.445,0.868,1.0
3.598,2.191,0.0
-2.27,3.216,0.0
-4.052,-0.05,0.0
-0.962,-1.194,1.0
-0.945,1.622,1.0
-1.535,0.021,1.0
-0.055,-1.732,1.0
-1.215,3.614,0.0
-3.467,-2.0,0.0
0.165,1.563,1.0
0.432,1.125,1.0
-2.108,0.39,1.0
4.245,0.572,0.0
0.037,4.286,0.0
-2.183,-3.077,0.0
-3.757,-0.459,0.0
-0.6,1.323,1.0
1.204,-0.688,1.0
-2.805,3.111,0.0
0.586,4.174,0.0
0.39,2.45,1.0
-0.201,1.334,1.0
-2.078,2.969,0.0
-2.923,-2.318,0.0
-0.916,-0.537,1.0
-1.03,1.295,1.0
-1.833,0.783,1.0
-1.404,1.176,1.0
1.463,-1.186,1.0
1.699,0.385,1.0
2.041,-0.124,1.0
4.11,2.178,0.0
0.629,-1.515,1.0
-1.706,2.974,0.0
-0.546,-2.189,1.0
-2.041,2.953,0.0
3.633,0.585,0.0
1.519,0.223,1.0
3.641,2.084,0.0
1.649,0.304,1.0
1.287,-1.153,1.0
1.322,0.238,1.0
1.034,-0.822,1.0
3.907,-1.687,0.0
-3.667,-1.267,0.0
-1.6,0.417,1.0
-0.401,-2.194,1.0
-3.538,1.178,0.0
4.035,1.774,0.0
1.635,-1.048,1.0
2.857,-3.043,0.0
1.079,-0.814,1.0
-0.817,-4.669,0.0
-4.146,0.945,0.0
4.062,1.636,0.0
1.612,-0.735,1.0
0.342,-3.629,0.0
4.077,-2.074,0.0
1.531,-0.402,1.0
-0.372,-1.318,1.0
-1.321,0.636,1.0
-1.206,-1.663,1.0
-2.193,2.433,0.0
-1.044,-1.31,1.0
0.053,-1.173,1.0
1.75,0.331,1.0
2.069,-0.846,1.0
-1.159,-1.701,1.0
0.789,1.799,1.0
1.641,-0.47,1.0
-2.376,3.354,0.0
0.057,-1.09,1.0
-0.824,4.021,0.0
-1.598,-0.482,1.0
1.513,-0.529,1.0
-1.905,-0.238,1.0
0.716,3.887,0.0
-4.272,1.576,0.0
-1.187,0.896,1.0
1.447,3.469,0.0
1.664,-2.943,0.0
2.706,-3.552,0.0
-1.615,-0.367,1.0
0.755,1.259,1.0
-1.52,-0.458,1.0
-1.242,1.213,1.0
-0.276,3.875,0.0
3.115,2.545,0.0
-1.207,4.078,0.0
0.886,-4.231,0.0
1.402,-1.672,1.0
-3.371,1.68,0.0
-0.141,1.545,1.0
-0.696,-1.08,1.0
-1.922,-0.52,1.0
3.576,0.125,0.0
-1.187,-0.892,1.0
3.905,1.165,0.0
3.239,-2.624,0.0
-0.579,2.262,1.0
-3.904,0.137,0.0
-2.518,-2.111,0.0
-1.741,-0.328,1.0
0.995,1.064,1.0
-0.448,1.677,1.0
-1.474,0.925,1.0
0.204,-1.478,1.0
-4.168,-0.321,0.0
0.26,1.196,1.0
-3.327,-2.103,0.0
1.965,-3.194,0.0
-1.699,3.535,0.0
-1.216,-0.967,1.0
-0.223,0.797,1.0
1.149,-1.662,1.0
1.676,0.833,1.0
0.353,-1.107,1.0
4.328,-0.666,0.0
-1.135,4.169,0.0
-0.297,3.923,0.0
-0.861,0.512,1.0
1.34,-0.868,1.0
-1.716,-0.019,1.0
-0.296,1.286,1.0
-1.617,-3.991,0.0
3.404,-1.519,0.0
-2.186,-3.007,0.0
-2.64,2.691,0.0
0.324,4.377,0.0
-0.25,-1.395,1.0
0.094,1.631,1.0
-1.16,3.89,0.0
0.857,-1.328,1.0
-3.206,2.296,0.0
0.354,1.525,1.0
-3.728,-1.231,0.0
-3.578,-2.128,0.0
1.702,-3.803,0.0
0.093,4.024,0.0
-2.716,2.757,0.0
-3.613,2.025,0.0
3.125,-3.012,0.0
-4.045,0.425,0.0
1.838,-3.303,0.0
0.557,-1.249,1.0
-1.546,-0.292,1.0
0.079,-1.095,1.0
-1.044,-1.295,1.0
0.243,-1.261,1.0
0.499,3.582,0.0
-0.448,1.642,1.0
0.978,-3.522,0.0
-1.186,-0.484,1.0
-1.474,0.04,1.0
-1.941,0.321,1.0
0.499,-1.136,1.0
-4.287,1.51,0.0
-0.212,1.265,1.0
0.57,-1.397,1.0
-1.294,-0.371,1.0
-1.495,-0.675,1.0
0.753,-1.61,1.0
0.253,1.444,1.0
0.309,-1.812,1.0
-1.638,0.102,1.0
0.479,-3.72,0.0
1.481,0.083,1.0
2.092,-0.244,1.0
-3.742,-1.109,0.0
-0.974,-1.198,1.0
2.612,-2.363,0.0
4.06,-0.292,0.0
0.51,3.991,0.0
-1.049,1.041,1.0
-4.805,0.902,0.0
-0.582,-1.662,1.0
-0.091,1.106,1.0
-0.479,1.238,1.0
-0.227,-3.844,0.0
1.436,0.295,1.0
-0.732,-1.348,1.0
-3.598,1.361,0.0
-1.685,-0.815,1.0
-0.549,1.542,1.0
-2.32,-3.422,0.0
0.039,1.29,1.0
1.765,-3.667,0.0
0.175,-1.986,1.0
-1.95,0.826,1.0
-1.336,-4.272,0.0
-4.05,-1.246,0.0
-1.346,-0.651,1.0
-0.065,1.604,1.0
0.032,1.58,1.0
-3.035,-1.496,0.0
0.387,-4.231,0.0
0.49,-3.479,0.0
-3.864,1.345,0.0
1.643,-1.129,1.0
-1.802,-1.071,1.0
4.071,-1.811,0.0
-1.164,-3.538,0.0
0.869,-0.199,1.0
-0.407,1.518,1.0
1.341,-0.515,1.0
1.523,-1.292,1.0
0.367,-1.501,1.0
0.292,1.612,1.0
-0.464,-1.758,1.0
-1.47,-1.18,1.0
-0.289,1.232,1.0
-0.444,-1.043,1.0
1.324,0.917,1.0
0.957,-0.318,1.0
0.533,1.589,1.0
-1.147,-0.933,1.0
1.843,2.918,0.0
-3.874,0.6,0.0
-1.619,0.923,1.0
-1.645,3.827,0.0
1.529,-0.045,1.0
3.45,1.775,0.0
1.671,0.573,1.0
-1.443,2.771,0.0
-0.751,1.468,1.0
0.236,-1.966,1.0
-0.216,-1.44,1.0
-0.536,-1.396,1.0
1.084,-1.553,1.0
-1.793,0.389,1.0
1.525,3.732,0.0
1.3,0.952,1.0
-3.96,0.684,0.0
-1.619,-0.237,1.0
0.649,1.548,1.0
-0.721,1.471,1.0
3.58,-2.312,0.0
1.256,1.488,1.0
0.458,-1.645,1.0
-3.203,1.694,0.0
0.625,-4.256,0.0
-1.211,-0.612,1.0
1.043,-4.127,0.0
-1.574,-0.475,1.0
-0.787,-1.4,1.0
-3.904,1.11,0.0
3.565,-0.312,0.0
-1.48,-0.311,1.0
-0.307,1.752,1.0
1.386,-1.435,1.0
0.39,1.073,1.0
-1.141,-0.158,1.0
1.113,0.683,1.0
-2.01,0.505,1.0
-0.997,1.133,1.0
0.838,4.407,0.0
-1.07,-0.161,1.0
-1.791,0.763,1.0
1.222,1.177,1.0
1.971,-3.83,0.0
1.484,-1.071,1.0
3.453,1.803,0.0
3.505,1.237,0.0
-1.612,-0.428,1.0
-0.696,-1.212,1.0
-2.831,2.233,0.0
-0.605,4.281,0.0
4.104,1.568,0.0
-0.204,-1.462,1.0
-3.839,1.332,0.0
3.779,-1.084,0.0
-1.318,-1.255,1.0
-0.083,-4.325,0.0
-3.882,-2.078,0.0
2.447,-3.168,0.0
-1.005,1.669,1.0
0.459,-4.303,0.0
0.921,1.65,1.0
3.851,-0.464,0.0
-0.183,3.396,0.0
2.655,2.884,0.0
4.314,-1.303,0.0
-0.283,1.357,1.0
0.031,4.031,0.0
1.019,-0.222,1.0
1.86,0.655,1.0
-0.707,-1.736,1.0
0.682,-0.685,1.0
3.121,3.2,0.0
-0.877,-1.148,1.0
4.286,0.996,0.0
-1.654,3.917,0.0
3.334,2.1,0.0
3.564,-0.793,0.0
0.54,-3.695,0.0
-2.608,2.874,0.0
-2.344,-0.284,1.0
-3.495,1.486,0.0
-1.62,-0.326,1.0
3.157,2.577,0.0
0.308,-1.919,1.0
-1.776,-3.13,0.0
-1.017,0.053,1.0
-1.556,0.694,1.0
-1.437,0.957,1.0
-3.696,-2.233,0.0
-1.664,0.6,1.0
-3.879,0.209,0.0
-1.736,0.722,1.0
3.885,-1.264,0.0
3.4,-2.348,0.0
1.277,-0.433,1.0
-0.695,-1.651,1.0
0.129,-1.857,1.0
-4.106,-0.994,0.0
-3.491,2.609,0.0
-1.168,3.387,0.0
1.095,0.968,1.0
-1.371,0.368,1.0
1.728,-3.421,0.0
-1.697,1.074,1.0
4.306,-1.346,0.0
-1.098,-1.415,1.0
-1.707,-0.951,1.0
0.57,3.899,0.0
1.58,0.97,1.0
0.494,-3.394,0.0
3.645,-0.481,0.0
0.859,-1.351,1.0
1.0,-0.4,1.0
1.456,0.698,1.0
2.171,3.504,0.0
-3.404,2.203,0.0
3.704,1.397,0.0
-1.042,-0.095,1.0
1.973,0.485,1.0
1.928,-2.88,0.0
3.56,-2.677,0.0
-0.52,-3.886,0.0
2.19,3.872,0.0
-2.025,-3.055,0.0
0.451,-1.621,1.0
1.005,0.633,1.0
-1.508,-3.56,0.0
-1.639,-0.379,1.0
-4.251,0.406,0.0
4.048,0.711,0.0
-3.252,-3.056,0.0
1.031,1.364,1.0
0.606,-3.982,0.0
-3.332,-0.727,0.0
-1.712,3.169,0.0
-0.566,-1.266,1.0
1.368,-0.439,1.0
0.128,1.448,1.0
-0.534,-0.888,1.0
4.05,-0.654,0.0
1.102,-0.332,1.0
2.051,0.298,1.0
-0.791,-0.814,1.0
-4.044,0.153,0.0
1.13,1.425,1.0
-0.55,-1.509,1.0
1.398,1.038,1.0
-0.756,1.358,1.0
-2.196,2.534,0.0
-1.207,-0.952,1.0
-1.799,0.305,1.0
3.976,-1.177,0.0
-1.189,0.652,1.0
1.366,0.202,1.0
3.238,2.659,0.0
3.869,-1.404,0.0
1.726,0.769,1.0
-0.602,-1.712,1.0
-1.425,-0.272,1.0
-3.955,-0.048,0.0
3.639,1.149,0.0
-3.133,-3.204,0.0
3.513,-2.502,0.0
-2.389,3.79,0.0
-3.453,-1.433,0.0
1.137,-0.536,1.0
-3.317,2.265,0.0
0.728,-3.966,0.0
-0.892,-1.705,1.0
1.39,-3.548,0.0
4.108,-0.18,0.0
-1.51,-3.628,0.0
-1.679,0.131,1.0
-3.337,-2.549,0.0
-1.015,1.61,1.0
-0.583,4.23,0.0
-0.699,1.979,1.0
-0.17,-1.462,1.0
1.034,3.696,0.0
-0.117,-4.486,0.0
1.385,3.745,0.0
3.409,-2.204,0.0
-2.379,-3.601,0.0
-3.562,1.891,0.0
2.971,-1.205,0.0
0.63,3.249,0.0
0.568,1.922,1.0
3.874,0.58,0.0
-0.97,0.863,1.0
2.686,3.824,0.0
1.027,3.593,0.0
-3.982,-1.247,0.0
-0.161,-1.83,1.0
2.587,-3.327,0.0
1.098,3.891,0.0
